,,Алтайский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,г. Москва,г. Санкт-Петербург,г. Севастополь,Донецкая Народная Республика,Еврейская автономная область,Забайкальский край,Запорожская область,Ивановская область,Иркутская область,Кабардино-Балкарская Республика,Калининградская область,Калужская область,Камчатский край,Карачаево-Черкесская Республика,Кемеровская область,Кировская область,Костромская область,Краснодарский край,Красноярский край,Курганская область,Курская область,Ленинградская область,Липецкая область,Луганская Народная Республика,Магаданская область,Московская область,Мурманская область,Ненецкий автономный округ,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Пермский край,Приморский край,Псковская область,Республика Адыгея,Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Республика Калмыкия,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Республика Хакасия,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Ставропольский край,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Удмуртская Республика,Ульяновская область,Хабаровский край,Ханты-Мансийский АО - Югра,Херсонская область,Челябинская область,Чеченская Республика,Чувашская Республика - Чувашия,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Ярославская область
,ИТОГО,90,158,53,35,104,110,128,26,39,26,81,170,29,30,21,21,74,52,20,21,149,51,12,26,61,20,20,143,78,76,20,83,19,41,18,112,17,8,112,17,76,33,21,38,13,62,125,26,30,5,109,120,6,20,11,50,33,56,16,20,32,24,123,17,99,70,190,27,33,36,75,139,44,24,90,37,20,72,132,20,138,70,40,174,20,19,51,19,39
179,Специалист по эксплуатации беспилотных авиационных систем,нет,да,нет,нет,да,да,нет,нет,да,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,да,нет,нет,да,нет,нет,нет,Да,нет,да,нет,да,нет,да,нет,нет,нет,нет,нет
172,Специалист по работе с системами искусственного интеллекта,нет,да,нет,нет,да,да,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,да,да,нет,да,нет,нет,да,нет,нет,да,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,Да ,нет,нет,нет,нет,нет,да,ДА,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,Да,да,нет,нет,да,нет,да,нет,нет,нет,нет,нет
1,Автомеханик,нет,да,да,нет,да,да,нет,нет,нет,нет,да,да,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,да,нет,да,да,нет,да,нет,нет,нет,да,нет,нет,нет,нет,да,да,да,да,да,нет,нет,да,нет,нет,да,нет,нет,нет,нет,Нет,да,нет,да,да,нет,да,да,да,нет,нет,нет
2,Агент по туризму,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,Нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет
3,Агроном,нет,да,нет,нет,да,да,да,да,да,нет,нет,нет,нет,нет,да,да,да,нет,нет,да,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,да,нет,Да ,да,нет,да,нет,нет,да,нет,да,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,да,нет,нет,нет,нет,да,да,да,да,да,да,Да,да,нет,да,нет,да,да,нет,нет,нет,нет,нет
4,Администратор баз данных,нет,да,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,да,нет,да,да,нет,нет,да,нет,нет,нет,нет,Нет ,да,да,нет,нет,нет,да,ДА,нет,нет,да,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,да,да,да,нет,да,да,нет,Нет,нет,нет,да,да,нет,да,да,нет,нет,нет,нет
5,Администратор/портье гостиницы,нет,да,нет,нет,нет,да,да,нет,нет,нет,да,да,да,нет,нет,нет,нет,да,да,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,да,да,да,нет,нет,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,нет,да,да,нет,нет,нет,Нет,нет,нет,да,да,нет,да,да,нет,нет,нет,да
6,Аккумуляторщик,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,да,нет,да,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,нет,нет,да,да,нет,да,нет,нет,да,нет,нет
7,Акушер,да,да,нет,да,да,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Да ,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,нет,да,да,да,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,да,да,нет,Нет,да,нет,да,нет,да,да,да,нет,нет,нет,нет
8,Аппаратчик химводоочистки,нет,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,нет,нет,нет,нет,да,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,Нет,да,нет,да,да,нет,да,нет,нет,нет,нет,нет
9,Аппаратчик химводоочистки электростанции,нет,нет,нет ,нет,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет
10,Арматурщик,нет,да,нет ,нет,да,нет,да,нет,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,да,нет,да,нет,нет,да,да,да,нет,нет,нет,нет,нет,Нет,нет,нет,да,нет,нет,да,нет,нет,да,нет,нет
11,Бетонщик,да,да,нет,нет,да,нет,да,нет,нет,нет,нет,да,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,да,нет,да,нет,да,нет,нет,да,нет,Да ,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,да,нет,да,да,да,нет,нет,нет,да,да,нет,нет,да,нет,нет,Да,да,нет,да,да,да,да,нет,нет,да,нет,нет
12,Бухгалтер,да,да,да,да,да,да,да,да,нет,нет,да,да,да,да,да,нет,да,да,нет,да,да,да,да,да,да,да,нет,да,да,да,да,нет,нет,да,да,да,да,да,да,нет,Да ,да,да,да,да,нет,да,ДА,да,нет,да,да,да,да,да,да,да,да,да,да,да,да,да,нет,да,да,да,да,да,да,да,да,да,да,да,да,нет,Да,да,нет,да,да,да,да,да,да,да,да,да
13,Ветеринарный фельдшер,нет,да,нет,да,да,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,да,нет,нет,нет,да,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,Да ,нет,нет,да,нет,да,нет,нет,нет,нет,да,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,да,да,да,нет,нет,нет,нет,да,нет,да,да,нет,нет,Нет,да,нет,нет,нет,нет  ,да,нет,нет,нет,нет,нет
14,Виноградарь,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
15,Внешний пилот,нет,нет,нет ,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет ,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,Нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
16,Водитель автобуса,да,да,да,да,да,да,да,да,нет,да,да,да,нет,да,да,нет,да,нет,да,да,да,да,да,да,да,да,да,да,да,да,да,да,да,да,нет,да,нет,нет,нет,да,Да ,да,да,да,нет,нет,да,ДА,да,нет,да,да,нет,нет,нет,нет,да,да,нет,да,да,нет,да,да,да,да,да,нет,да,да,да,да,да,да,да,да,нет,Да,да,да,да,да,да,да,нет,нет,да,да,да
17,Водитель грузового автомобиля,да,да,да,нет,да,да,да,да,да,да,да,да,да,нет,да,нет,да,нет,да,нет,да,да,да,да,да,да,да,да,да,да,нет,да,да,нет,да,да,да,да,да,нет,Да ,да,нет,нет,нет,нет,да,ДА,да,нет,да,да,нет,да,нет,нет,да,да,да,нет,да,нет,да,нет,да,да,да,нет,да,да,да,да,да,нет,да,нет,да,Да,да,да,да,да,да,да,да,нет,да,нет,да
18,"Водитель легкового автомобиля, такси, фургона",да,да,да,нет,да,да,да,да,нет,да,да,да,да,нет,нет,нет,нет,да,нет,нет,да,нет,нет,да,да,нет,нет,нет,да,нет,да,да,да,да,да,да,да,нет,нет,нет,Да ,да,нет,да,нет,да,да,ДА,да,нет,да,да,нет,да,нет,да,да,нет,нет,нет,да,нет,да,нет,да,нет,да,да,нет,да,да,да,нет,нет,да,да,нет,Да,да,да,да,нет,нет,да,нет,да,да,да,да
19,Водитель трамвая,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,да,нет,Да ,нет,нет,нет,нет,да,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,да,да,нет,нет,нет,нет,нет,Нет,да,нет,да,нет,нет,да,нет,нет,нет,нет,нет
